,att_id,att_name,att_cat,att_price,score
30,11452241,Eat Like a Local: Kuala Lumpur Hawker Center and Street Food Tour by Night,tours_sightseeing,255.51,5.0
260,13335655,ESCAPE Admission Ticket,theme_parks,166.49,4.6531831936441055
20,11449719,Penang Hill and Temple Tour,recommended_experiences,149.8,2.2694550651160257
396,16722683,KL Hop On Hop Off City Tour,featured_tours_and_tickets,53.07,2.2245841849689634
302,14128357,Dragon Back Trek,outdoor_activities,214.3,2.1218475491780233
243,13198369,Langkawi Mangrove Forest and Cave Exploring Tour,luxury_special_occasions,149.37,1.5924073623288162
187,12905660,Petronas Twin Towers Admission Tickets (E-Tickets),featured_tours_and_tickets,119.49,1.4537367742910265
53,11471521,Half-Day Heritage Bike Tour in Kuching,walking_biking_tours,193.69,1.3546777354816237
405,16822076,Sunset Party Yacht Cruise,shore_excursions,317.43,1.2639496866960176
93,11841295,"Private Langkawi Tour with SkyBridge, Langkawi Cable Car",private_custom_tours,236.96,1.2367978989956647
100,11991123,Cheong Fatt Tze George Town Penang: The Blue Mansion Guided Tour,featured_tours_and_tickets,20.61,1.2233125023607971
32,11452959,Small-Group Food Trail Walking Tour in Kuala Lumpur,featured_tours_and_tickets,243.14,1.1908279367264456
512,17682752,Malaysian Cooking Classes,food_wine_nightlife,432.71,1.028412977877759
529,17718163,Penang: Flexible 6-Hours Highlights,featured_tours_and_tickets,309.04,0.9367511027544729
52,11471161,Kuala Lumpur Food Tour Through Chow Kit,food_wine_nightlife,292.6,0.7910243550302811
102,11991714,Penang George Town All-In-One Heritage Tour By Bicycle & Trishaw (Metro Bike),walking_biking_tours,226.66,0.7807260342389001
232,13088933,Wonderfood Museum Penang Admission Ticket,sightseeing_tickets_passes,24.31,0.7635551712994246
91,11812460,Private Half-Day Batu Caves Waterfalls and Hot Springs Tour,featured_tours_and_tickets,377.67,0.7515229763248792
174,12608953,6 Flights: Guided Zipline Eco Adventure in Langkawi,outdoor_activities,234.9,0.6545361925906651
72,11484318,Sunway Lagoon Malaysia One-Day Pass,featured_tours_and_tickets,177.18,0.6453264614906806
59,11474972,Half-Day Penang Countryside Cycling Tour,featured_tours_and_tickets,115.81,0.6311328257794827
142,12468200,Private Tour: Kuala Lumpur with Petronas Twin Towers Observation Deck and Batu Caves,featured_tours_and_tickets,407.98,0.5912353578128737
56,11474094,"Day Tour Kuala Lumpur City, Batu Caves & Little India ",day_trips_excursions,370.9,0.5837936012960251
565,19086271,Langkawi: Flexible 6-Hours Tour,shore_excursions,325.52,0.580032064868404
178,12649821,Full Day Batu Caves and Kuala Gandah National Conservation Tour ex Kuala Lumpur,luxury_special_occasions,515.07,0.5343165440451259
