,att_id,att_name,att_cat,att_price,score
30,11452241,Eat Like a Local: Kuala Lumpur Hawker Center and Street Food Tour by Night,tours_sightseeing,255.51,5.0
260,13335655,ESCAPE Admission Ticket,theme_parks,166.49,4.656109138212269
20,11449719,Penang Hill and Temple Tour,recommended_experiences,149.8,2.2657771756256313
396,16722683,KL Hop On Hop Off City Tour,featured_tours_and_tickets,53.07,2.220499540433707
302,14128357,Dragon Back Trek,outdoor_activities,214.3,2.118970256911452
243,13198369,Langkawi Mangrove Forest and Cave Exploring Tour,luxury_special_occasions,149.37,1.5878474208447526
187,12905660,Petronas Twin Towers Admission Tickets (E-Tickets),featured_tours_and_tickets,119.49,1.4491700804254122
53,11471521,Half-Day Heritage Bike Tour in Kuching,walking_biking_tours,193.69,1.3509440115602027
405,16822076,Sunset Party Yacht Cruise,shore_excursions,317.43,1.2601265812829372
93,11841295,"Private Langkawi Tour with SkyBridge, Langkawi Cable Car",private_custom_tours,236.96,1.232707278030529
100,11991123,Cheong Fatt Tze George Town Penang: The Blue Mansion Guided Tour,featured_tours_and_tickets,20.61,1.2191667195355786
32,11452959,Small-Group Food Trail Walking Tour in Kuala Lumpur,featured_tours_and_tickets,243.14,1.1870888349771633
512,17682752,Malaysian Cooking Classes,food_wine_nightlife,432.71,1.0249848864821447
529,17718163,Penang: Flexible 6-Hours Highlights,featured_tours_and_tickets,309.04,0.9333233013480785
52,11471161,Kuala Lumpur Food Tour Through Chow Kit,food_wine_nightlife,292.6,0.7878979652722031
102,11991714,Penang George Town All-In-One Heritage Tour By Bicycle & Trishaw (Metro Bike),walking_biking_tours,226.66,0.7774980823003796
232,13088933,Wonderfood Museum Penang Admission Ticket,sightseeing_tickets_passes,24.31,0.7603108796880087
91,11812460,Private Half-Day Batu Caves Waterfalls and Hot Springs Tour,featured_tours_and_tickets,377.67,0.74828298377807
174,12608953,6 Flights: Guided Zipline Eco Adventure in Langkawi,outdoor_activities,234.9,0.6515590911021358
72,11484318,Sunway Lagoon Malaysia One-Day Pass,featured_tours_and_tickets,177.18,0.6424306836133812
59,11474972,Half-Day Penang Countryside Cycling Tour,featured_tours_and_tickets,115.81,0.628460182893228
142,12468200,Private Tour: Kuala Lumpur with Petronas Twin Towers Observation Deck and Batu Caves,featured_tours_and_tickets,407.98,0.5885699335110077
56,11474094,"Day Tour Kuala Lumpur City, Batu Caves & Little India ",day_trips_excursions,370.9,0.581323834056982
565,19086271,Langkawi: Flexible 6-Hours Tour,shore_excursions,325.52,0.5775565963885901
178,12649821,Full Day Batu Caves and Kuala Gandah National Conservation Tour ex Kuala Lumpur,luxury_special_occasions,515.07,0.5319093157469486
554,18912166,Batu Caves and the Old City of Kuala Lumpur,private_custom_tours,247.26,0.48022973595779855
360,15342653,Stray Asia: 9 Day Borneo Explorer Tour,multiday_extended_tours,7809.41,0.4716571074430864
536,17775280,"Monkey, Eagle & Firefly Private Tour",outdoor_activities,277.76,0.45076034233887524
233,13131236,Penang Hill Funicular Ticket,sightseeing_tickets_passes,31.94,0.4410813990739464
215,12961398,City Tour with Batu Cave and Fireflies Tour,private_custom_tours,412.11,0.4230369336101043
83,11764384,Private Tour: Full Day Center Penang Island Tour,private_custom_tours,412.05,0.41437779233056476
180,12650625,2 hour Small Group Segway Tour of Perdana Botanical Gardens,recommended_experiences,214.3,0.3981710677195707
78,11486172,3-Hour Heritage on a Plate Dinner Hop in George Town Penang,walking_biking_tours,247.26,0.3977044231092898
333,15126852,Magical River Trek,outdoor_activities,329.68,0.3679990855862918
487,17516432,Kota Kinabalu Nanamun Fireflies Tour,outdoor_activities,164.84,0.3248213511406315
150,12469580,Half-Day Kuala Lumpur City Tour,featured_tours_and_tickets,43.27,0.3222600489819545
34,11454341,Langkawi Archipelago Jet Ski Tour Including Dayang Bunting Island,featured_tours_and_tickets,515.06,0.30773376928775875
412,16840385,Cameron Highlands Tour from Kuala Lumpur,private_custom_tours,439.39,0.30706788315848144
423,16912726,"French Village, Bukit Tinggi And Genting Highlands Tour",outdoor_activities,515.13,0.3059799196008039
90,11812458,Private Cooking Workshop and Market Tour in Kuala Lumpur,walking_biking_tours,248.71,0.2932782727647854
76,11485352,Day Trip to Mount Kinabalu Poring Rainforest,outdoor_activities,325.56,0.28685011217821843
31,11452243,Eat Like A Local: Penang Street Food Tour,food_wine_nightlife,255.51,0.28620519884041434
420,16878011,Batu Caves and Genting Highland Tour,theme_parks,279.0,0.2671750121773271
293,14061658,Private Day Tour of Langkawi with Cable Car and Telaga Tujuh Waterfalls,featured_tours_and_tickets,309.04,0.2626553756148305
80,11487171,Half-Day Mangrove Safari Boat Tour in Langkawi,shore_excursions,181.33,0.2570556402914589
452,17372866,Fireflies Tour with Boat Ride & Seafood Dinner,outdoor_activities,284.35,0.25172592965830604
39,11461542,Guided Tour of Royal Selangor Visitor Center including Pewter Crafting Lesson,tours_sightseeing,75.42,0.24855379494796911
46,11467089,Kuala Lumpur Food Tour,cultural_theme_tours,239.02,0.24618649111042015
259,13315881,Private Kickstart Tour: Intro to Kuala Lumpur,walking_biking_tours,96.72,0.2150654901629743
228,13006591,The Habitat at Penang Hill Admission Ticket,sightseeing_tickets_passes,61.82,0.19179355642441168
50,11470871,Hot Air Balloon Flight over Serdang,featured_tours_and_tickets,947.71,0.19078948403262735
411,16840383,Genting Highlands Day Trip from Kuala Lumpur,private_custom_tours,262.1,0.1830557671768473
372,15678609,Half Day Guided Rock Climbing + Batu Caves,outdoor_activities,164.84,0.18239512424543827
217,12962337,Malaysia Countryside and Batu Caves Tour from Kuala Lumpur,featured_tours_and_tickets,43.27,0.16552513510410105
10,11449679,Batu Caves Tour from Kuala Lumpur,featured_tours_and_tickets,54.97,0.1651921920394624
245,13198371,Fascinating Kuala Lumpur Half Day Private Tour,private_custom_tours,103.03,0.1646652506536957
38,11459849,Mangrove Kayaking Tour from Langkawi,water_sports,249.94,0.16444241474429186
558,19011832,Private Tour : Kuala Lumpur with KL Tower Tickets!,private_custom_tours,412.11,0.16335445118661432
