,att_id,att_name,att_cat,att_price,score
30,11452241,Eat Like a Local: Kuala Lumpur Hawker Center and Street Food Tour by Night,tours_sightseeing,255.51,5.0
260,13335655,ESCAPE Admission Ticket,theme_parks,166.49,4.652559909568484
20,11449719,Penang Hill and Temple Tour,recommended_experiences,149.8,2.2689340988189874
396,16722683,KL Hop On Hop Off City Tour,featured_tours_and_tickets,53.07,2.2240592945397513
302,14128357,Dragon Back Trek,outdoor_activities,214.3,2.1213612985630097
243,13198369,Langkawi Mangrove Forest and Cave Exploring Tour,luxury_special_occasions,149.37,1.5919041761631125
187,12905660,Petronas Twin Towers Admission Tickets (E-Tickets),featured_tours_and_tickets,119.49,1.4531961823632316
53,11471521,Half-Day Heritage Bike Tour in Kuching,walking_biking_tours,193.69,1.3540939407211967
405,16822076,Sunset Party Yacht Cruise,shore_excursions,317.43,1.2634814560313468
93,11841295,"Private Langkawi Tour with SkyBridge, Langkawi Cable Car",private_custom_tours,236.96,1.2363729827975547
100,11991123,Cheong Fatt Tze George Town Penang: The Blue Mansion Guided Tour,featured_tours_and_tickets,20.61,1.2228135007330514
32,11452959,Small-Group Food Trail Walking Tour in Kuala Lumpur,featured_tours_and_tickets,243.14,1.1903205755305115
512,17682752,Malaysian Cooking Classes,food_wine_nightlife,432.71,1.027994953879402
529,17718163,Penang: Flexible 6-Hours Highlights,featured_tours_and_tickets,309.04,0.9363123978776919
52,11471161,Kuala Lumpur Food Tour Through Chow Kit,food_wine_nightlife,292.6,0.7906095996936658
102,11991714,Penang George Town All-In-One Heritage Tour By Bicycle & Trishaw (Metro Bike),walking_biking_tours,226.66,0.7803390132788507
232,13088933,Wonderfood Museum Penang Admission Ticket,sightseeing_tickets_passes,24.31,0.7631496814701941
91,11812460,Private Half-Day Batu Caves Waterfalls and Hot Springs Tour,featured_tours_and_tickets,377.67,0.751190060925874
174,12608953,6 Flights: Guided Zipline Eco Adventure in Langkawi,outdoor_activities,234.9,0.6541755074314879
72,11484318,Sunway Lagoon Malaysia One-Day Pass,featured_tours_and_tickets,177.18,0.6449854832237473
59,11474972,Half-Day Penang Countryside Cycling Tour,featured_tours_and_tickets,115.81,0.6308070383415993
142,12468200,Private Tour: Kuala Lumpur with Petronas Twin Towers Observation Deck and Batu Caves,featured_tours_and_tickets,407.98,0.5909390138033954
56,11474094,"Day Tour Kuala Lumpur City, Batu Caves & Little India ",day_trips_excursions,370.9,0.5835062145440526
565,19086271,Langkawi: Flexible 6-Hours Tour,shore_excursions,325.52,0.5797426058859168
178,12649821,Full Day Batu Caves and Kuala Gandah National Conservation Tour ex Kuala Lumpur,luxury_special_occasions,515.07,0.5340547572275711
554,18912166,Batu Caves and the Old City of Kuala Lumpur,private_custom_tours,247.26,0.4821825258403863
360,15342653,Stray Asia: 9 Day Borneo Explorer Tour,multiday_extended_tours,7809.41,0.4736560507549511
536,17775280,"Monkey, Eagle & Firefly Private Tour",outdoor_activities,277.76,0.45278179200226604
233,13131236,Penang Hill Funicular Ticket,sightseeing_tickets_passes,31.94,0.442983295872095
215,12961398,City Tour with Batu Cave and Fireflies Tour,private_custom_tours,412.11,0.4249153515892395
83,11764384,Private Tour: Full Day Center Penang Island Tour,private_custom_tours,412.05,0.41623151307558953
180,12650625,2 hour Small Group Segway Tour of Perdana Botanical Gardens,recommended_experiences,214.3,0.3999260391887391
78,11486172,3-Hour Heritage on a Plate Dinner Hop in George Town Penang,walking_biking_tours,247.26,0.39945394890409486
333,15126852,Magical River Trek,outdoor_activities,329.68,0.3697542245523666
487,17516432,Kota Kinabalu Nanamun Fireflies Tour,outdoor_activities,164.84,0.32635339105074185
150,12469580,Half-Day Kuala Lumpur City Tour,featured_tours_and_tickets,43.27,0.3238093489612703
34,11454341,Langkawi Archipelago Jet Ski Tour Including Dayang Bunting Island,featured_tours_and_tickets,515.06,0.3092191364419605
412,16840385,Cameron Highlands Tour from Kuala Lumpur,private_custom_tours,439.39,0.30853460552922635
423,16912726,"French Village, Bukit Tinggi And Genting Highlands Tour",outdoor_activities,515.13,0.3074304388079196
90,11812458,Private Cooking Workshop and Market Tour in Kuala Lumpur,walking_biking_tours,248.71,0.29466301933209715
76,11485352,Day Trip to Mount Kinabalu Poring Rainforest,outdoor_activities,325.56,0.28819800515627503
31,11452243,Eat Like A Local: Penang Street Food Tour,food_wine_nightlife,255.51,0.2875108515197373
420,16878011,Batu Caves and Genting Highland Tour,theme_parks,279.0,0.2684856130485755
293,14061658,Private Day Tour of Langkawi with Cable Car and Telaga Tujuh Waterfalls,featured_tours_and_tickets,309.04,0.2639614144874018
80,11487171,Half-Day Mangrove Safari Boat Tour in Langkawi,shore_excursions,181.33,0.2582701038336354
452,17372866,Fireflies Tour with Boat Ride & Seafood Dinner,outdoor_activities,284.35,0.25298531536942376
39,11461542,Guided Tour of Royal Selangor Visitor Center including Pewter Crafting Lesson,tours_sightseeing,75.42,0.24984329225273616
46,11467089,Kuala Lumpur Food Tour,cultural_theme_tours,239.02,0.2473989136678006
259,13315881,Private Kickstart Tour: Intro to Kuala Lumpur,walking_biking_tours,96.72,0.21626193667171106
228,13006591,The Habitat at Penang Hill Admission Ticket,sightseeing_tickets_passes,61.82,0.19277806773446496
50,11470871,Hot Air Balloon Flight over Serdang,featured_tours_and_tickets,947.71,0.1918260189937658
411,16840383,Genting Highlands Day Trip from Kuala Lumpur,private_custom_tours,262.1,0.18402603840192194
372,15678609,Half Day Guided Rock Climbing + Batu Caves,outdoor_activities,164.84,0.183346752936795
217,12962337,Malaysia Countryside and Batu Caves Tour from Kuala Lumpur,featured_tours_and_tickets,43.27,0.16642231623229992
10,11449679,Batu Caves Tour from Kuala Lumpur,featured_tours_and_tickets,54.97,0.16608398486163822
245,13198371,Fascinating Kuala Lumpur Half Day Private Tour,private_custom_tours,103.03,0.16555419465331528
38,11459849,Mangrove Kayaking Tour from Langkawi,water_sports,249.94,0.16534437674902897
558,19011832,Private Tour : Kuala Lumpur with KL Tower Tickets!,private_custom_tours,412.11,0.1642533236467401
193,12923613,Lost World of Tambun Admission Ticket,sightseeing_tickets_passes,103.03,0.1641510374184005
106,11994948,KL Tower Observation Deck Admission Ticket,sightseeing_tickets_passes,74.18,0.1613211184343388
44,11465849,4-Hour Georgetown Food Tour,walking_biking_tours,296.72,0.15671036998764698
403,16804447, Walking Food Tour or Cooking Class. Book EITHER Here. Price is food-inclusive.,walking_biking_tours,206.05,0.15355785597574506
146,12468684,Private Tour: Malacca Historical Tour With Personal Chauffeur ,private_custom_tours,333.76,0.15055483722064714
337,15136396,Kinabalu Park and Poring Hot Spring,spa_tours,226.63,0.14596769328818754
63,11477736,Quad Biking Tour in Kiulu,outdoor_activities,412.11,0.1454588848702932
469,17428174,Ipoh Secrets Full Day Heritage Tour (MIXED GROUP/SIC),walking_biking_tours,200.35,0.14467469045302309
500,17555047,Nature Tour EcoRide Half Day with Twizy Electric Car: Pantai Cenang <-> Sky Cab,outdoor_activities,329.68,0.14284402923812498
385,15854988,Skytrex Adventure Park Experience in Melaka,outdoor_activities,90.29,0.14142513566038875
384,15854984,Skytrex Adventure Park Experience in Langkawi,outdoor_activities,90.29,0.1357705431398725
169,12471553,Skip the Line: Petronas Twin Towers Ticket With Free Hotel Delivery,tours_sightseeing,107.56,0.13010283700033834
8,11449673,3-Days Tour from Sabah: Sandakan Wildlife Wonders in Sepilok/Selingan & Sukau,multiday_extended_tours,3114.9,0.12009452296588098
255,13271355,Full Day A'Famosa Theme Park Experience,theme_parks,206.05,0.11555721078568937
154,12470428,Private Half-Day Temples and Cultural Tour in Kuala Lumpur,private_custom_tours,144.22,0.1118617929464466
51,11470981,Langkawi Private Day Tour,outdoor_activities,947.84,0.11169918407062471
110,12061739,Baba Nyonya Heritage Museum Tour Tickets,sightseeing_tickets_passes,22.86,0.10976885935119059
85,11807013,Discover the Best Local Food Tour by Night in Kuala Lumpur,featured_tours_and_tickets,142.75,0.1078831209364173
86,11807014,Private Half-Day: The Ultimate Kuala Lumpur Food Tour,private_custom_tours,271.69,0.10697565850037899
303,14131916,Jungle Mountain Waterfall Trek,outdoor_activities,379.14,0.10267963691011663
237,13137213,Parasailing Sensation - Double Flyers,water_sports,221.51,0.09542256014561362
111,12074338,Local Market and Food Walking Tour in Penang,walking_biking_tours,173.08,0.09399317567266309
580,19441627,"Penang ""Old"" Street Food Tour (Breakfast-Brunch-Lunch) by Bicycle and Trishaw",walking_biking_tours,185.45,0.09200515102955023
103,11992275,12 Flights: Zipline Eco Adventure in Langkawi,featured_tours_and_tickets,473.86,0.0913861882119056
92,11812461,Private Half-Day Tour: The Best of Kuala Lumpur,private_custom_tours,202.62,0.09122095661228012
258,13315814,Private Tour: Ipoh Secrets Full Day Heritage Tour,private_custom_tours,379.97,0.08375668466729437
194,12928642,Aquaria KLCC Admission Ticket (E-Ticket),sightseeing_tickets_passes,61.57,0.08086382031194676
184,12880465,Segway Tour: Guided Eco Ride at Putrajaya 'City in the Garden',recommended_experiences,309.08,0.07892300469729834
26,11450590,Kota Kinabalu International Airport Plaza Premium Lounge,recommended_experiences,141.96,0.07621897645580841
60,11475887,Fireflies Tour in Cherating,featured_tours_and_tickets,63.87,0.07609833116084379
159,12471211,Langkawi Sunset Dinner Cruise,cruises_sailing_water_tours,342.58,0.07204097743670712
77,11485510,Half-Day Mari Mari Cultural Village from Kota Kinabalu,tours_sightseeing,133.57,0.0691743403193953
17,11449707,Langkawi Cable Car/Skycab @ Oriental Village ,private_custom_tours,248.25,0.06559169960370644
441,17330149,Half Day Kuala Lumpur Tour Private,food_wine_nightlife,144.24,0.06305552568564557
